,Country,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Happiness Rank,Analyzed Happiness Score
2,Denmark,98.88718622139423,80.39260859080312,96.72277321004655,83.5678844016304,95.36660083631476,91.49588963627295,2,100.0
0,Switzerland,97.89209050967155,84.5299916044677,94.64271323758634,89.77025476582456,93.23923343925567,79.52153616491545,3,99.90405856477616
3,Norway,97.55931491955666,86.54965393271443,95.82579717546722,84.84086194970676,97.20345914740265,75.43838259285378,4,99.66517581276314
5,Finland,100.0,77.96262300874461,96.01361396286075,83.60933954252981,94.9254573598202,86.32535116677819,3,98.9107278620127
7,Sweden,93.44407300705315,80.45447209638903,91.6983286063221,86.10700832792298,94.085024372848,84.16033768295846,8,97.04304495015833
8,New Zealand,92.89138707065709,75.61843761091586,96.03512763989603,86.20523034575291,93.5847163116191,85.00601373741038,8,96.54716102841697
23,Singapore,74.54339437366818,91.55674384764096,84.15319504147354,98.54392412605225,86.15063201289517,100.0,29,96.30477951231646
16,Luxembourg,86.74649905380451,94.02098966068215,89.42519267495706,86.38809280394287,88.41687723377377,70.33230865342598,15,95.59628175486313
9,Australia,91.74396876871437,79.78003148710988,94.25103633959964,88.29931826357459,91.21417682114793,65.00350574156613,10,94.62413282618265
4,Canada,92.7183682428038,79.38244068675492,92.46653219836476,87.245752871686,92.38612115842042,64.71171313922545,8,94.4027013484558
6,Netherlands,95.46013771312222,81.0678546565521,91.23341868499664,84.33235234688262,89.31935431062337,65.58497112643865,6,94.32622486913125
1,Iceland,97.65148339346254,79.80701251290813,100.0,87.79843241172117,94.68432381015357,29.41874103257444,3,93.62766461320861
17,Ireland,85.96775659668754,85.14747984502456,96.11382299207362,84.35851428536898,85.89185894583092,65.40125047287104,16,93.02565249764454
12,Austria,90.07976301149021,80.29758246090518,91.51214764511599,85.48476373515787,87.5212080554789,47.916378572603726,11,90.57819430447398
27,Qatar,72.87627704456344,100.0,80.40306286094822,73.64145586615604,89.75448036982375,72.82117185768737,32,89.38483880883932
25,Germany,85.56383231203057,80.05102117014474,89.94015642431161,83.77317501822668,83.72328369979597,56.631191641079724,17,89.0116653495093
20,United Kingdom,85.24916693924075,76.88038303596876,91.90734227401794,84.6190391320789,76.31315750217495,53.91677115881277,17,87.1481515256554
18,Belgium,83.71625810534236,78.94446541882851,90.18531642415033,84.40067284125044,77.61725098190962,46.1641926648613,18,86.1721594250403
19,United Arab Emirates,79.54690158547963,87.13526912308099,76.57926120549897,71.28981715997037,92.57222054702905,57.570817009527616,23,85.55132219776279
21,Oman,82.63772568348483,78.00177284714339,74.3618816572085,73.03787195514909,94.21795652259968,66.49732959439797,22,85.44283796210189
36,Malta,76.40843097271889,74.48905316474796,92.62107131908952,84.22874700685341,90.20246553681245,32.47761492576702,26,83.95428013489362
14,United States,85.59229091226871,83.4577368389426,89.13949090769442,76.23437773505746,76.29203483936884,29.278711474000403,17,83.6850478060547
28,France,76.03652235334964,77.09190341051968,89.66424241689373,88.56883741629443,73.3787489925865,40.0912453536048,26,82.96571786258478
10,Israel,89.18847766930405,74.64523237096583,89.22992493439517,87.0465959392632,62.820915450553294,23.775092573358105,13,81.9417935767886
71,Hong Kong,50.831521282546646,82.29295712877318,77.25075779311682,100.0,75.14695611695426,64.68405667509491,75,80.55526240499893
11,Costa Rica,88.62188396041559,59.75324281912091,87.5587187877034,80.02008584803745,90.77089512625753,19.703900070181568,13,80.49137809735643
45,Japan,61.515948440548904,76.55721236491853,87.5555691980751,94.22122377881011,72.8194743535726,34.77979850801312,54,78.90775438741679
165,Hong Kong S.A.R. of China,51.86606978557744,83.2069968150406,71.64482499955065,98.51447667660722,63.23338999077912,68.96702654918583,78,78.24512059041666
31,Uruguay,73.11720925047459,64.82791413325153,88.80563881687675,74.21115153027795,86.76838668712136,39.522793484400246,30,78.11977365049184
158,Puerto Rico,86.84836911307522,77.96277511494814,74.31445260399866,74.53581007241019,68.61147382160411,24.832690339966373,15,77.78881074360939
35,Spain,71.89411621555894,74.55099078676315,93.045688994926,91.64389332716748,61.16492192297003,16.707871873624583,33,77.71495062140737
48,Bahrain,67.9952295216383,79.12692716636526,82.79604555776015,69.97340024371816,81.71316479411745,38.3603140953309,39,77.22859546266679
30,Czech Republic,79.97907083888742,73.12185148603727,89.55088263018244,78.74543568985341,72.54506534115085,7.484240084017303,23,77.03489029575177
54,Slovenia,64.18268858304316,72.68086369241954,92.0023129003756,81.41177450384986,90.15509962261484,11.005969611766655,48,76.90260273943859
164,Taiwan Province of China,75.09252419888432,80.50366492935453,80.41495160932831,73.94340667827095,68.8406253807601,27.406390970965134,24,76.50958650769587
38,Kuwait,66.40346353755034,87.36922562187979,78.80291601566401,65.7151672638645,77.80921273025731,33.48950094499788,44,75.95459751899185
34,Saudi Arabia,72.31970800513601,81.65676227620992,80.33330464427837,63.25617240445695,67.74733354502219,43.19909312363701,31,75.4302884961819
24,Panama,73.59486821777624,66.66487196815652,86.34406941082716,74.28460395289306,81.78943018087995,13.453918128767652,31,74.3832857589702
72,Estonia,58.15260809171746,71.48792728074747,91.79872260832708,71.65246437216065,75.9755581086477,38.377548518696116,60,73.71516181338357
37,Taiwan,72.17903071321192,77.72692485957626,83.6608974410647,82.91572265384231,53.71742292225748,16.16961821685063,31,73.69935023826271
59,Poland,64.15649324401633,69.83065841441021,87.89047155302666,73.48265913579924,76.85565165829182,16.06487261458249,47,72.15962807435578
43,Uzbekistan,65.48663024807038,41.65583758524393,94.5784340019747,56.6348624757387,100.0,55.083402689441854,44,71.71629473468364
26,Chile,74.15337567294559,66.88297132279942,81.34280830659306,79.57630587664748,58.87154014571948,16.487220801747164,29,71.34489152743531
29,Argentina,70.44464647577719,63.45849516195995,88.44924174101094,72.47373795600112,72.9548509208227,12.772274387839705,38,71.1966134828574
65,North Cyprus,55.84580898993221,74.05188457275557,69.61392430553919,85.42874804250306,69.76857827938343,35.1201981026031,68,71.08486599268234
13,Mexico,77.58301389615808,61.832635508670094,73.36582890991082,72.8087197920043,69.61015625134577,25.136270295726014,24,70.93953323253311
15,Brazil,76.2460856713634,58.55241652893605,87.63101970796994,64.41066985988513,67.16337740022594,23.84007836705253,26,70.08762401017547
49,Italy,66.50468863772396,75.27998260089302,87.99080452703821,89.27938617989946,38.409808230458026,6.269881158991453,41,69.98513073051087
33,Thailand,67.9095274926637,60.332589130013424,87.06247842792727,67.55705406917227,85.7157543058266,5.708649353762298,44,69.71997184102841
87,Portugal,51.565312530944155,70.88375377349082,84.33723640110473,83.83357900269381,78.92260957954154,3.825706203037839,76,69.36738638718772
44,Slovakia,67.05834538398958,71.51390404192504,92.19756661215374,73.4648170974791,49.69229058426401,3.8459700317406122,40,68.24690772895468
66,Cyprus,60.242405503900244,73.44385150794706,69.32383632305022,88.28408217265688,58.197782717809496,9.663223741735418,56,67.80264316496141
40,Trinidad and Tobago,67.26604741644253,72.64112481927052,85.17956782755772,54.558294782610794,78.02894516087616,2.0370571552833185,41,67.77009516347393
53,Kazakhstan,61.39337934305836,68.04219860657588,88.7943236652943,59.61000598535716,68.96650564045983,22.344639517845128,55,67.63667622217994
32,Colombia,69.39263272507776,56.67579774005896,85.56381779695073,65.01086534326808,74.47686873002641,9.384622465421149,39,66.99294441144717
70,Mauritius,59.06944124977191,63.923423546956485,79.85744410623673,65.66610567390083,79.69809466092003,13.08252850653801,59,66.29239192240156
46,South Korea,60.56062890619952,75.54638299995628,69.94081613163084,90.75880436401881,37.023422781546834,15.907314987051624,56,66.27256502836336
47,Ecuador,62.193143405591975,52.65745801441183,76.730647915559,71.68106353977063,73.84281149687996,24.771197952318307,52,65.48418329718257
55,Lithuania,63.71408455387119,71.3557891157628,91.66613944224176,67.39311327296413,44.08038856806786,6.710276170670134,48,65.3153328819085
60,Malaysia,57.79201997393238,69.44969344372082,74.97451502161559,65.81207924697613,71.50543115425239,13.408044819659736,61,65.10221966872491
166,Maldives,45.16752546598994,58.86547967687065,83.07946543388056,77.38005085003314,83.14508261871772,14.48355650086869,88,65.01094856484337
42,Guatemala,71.58365487856571,46.14093415971554,75.33267726869488,58.0861071179095,84.73195598816275,17.544724404144713,32,64.31375019138153
39,Suriname,69.41721082928703,59.99342301387145,60.16822195097551,52.418986244577056,82.81092300036724,26.65882335089571,40,63.85312227262814
97,Dominican Republic,47.90541497318364,58.07717345984196,84.63862428775528,61.05892178628041,81.80115129390678,24.471165539210933,82,63.374938722316784
56,Nicaragua,64.12350815191809,38.501431561686275,79.96242268248412,68.00054916215889,74.51804332868248,31.67021898356036,48,63.294480701473844
88,Latvia,58.03359633009401,68.4356461380896,86.71743214738035,65.97759888468066,46.063278178470256,15.314877757422247,61,63.15102372701137
52,Paraguay,55.81864383506652,50.44396099822871,90.91415420037652,60.91936399880129,78.41200899770672,14.376283361347175,65,63.082753465267174
85,Romania,59.303581487840674,66.3963880118992,71.10861576949311,69.12557601402914,68.30119211343077,0.3249556352799792,58,62.69016932227275
58,Belarus,53.83233105663484,62.00272429872983,89.21085313722264,65.34318356714077,42.96954958628422,35.15431030472279,70,62.55670234079338
64,Jamaica,58.50511151816813,48.74182113297972,86.35669175048166,65.74941496127347,76.91026823256499,6.787279435367482,60,62.44241451446937
63,Russia,56.91140523764881,68.44018199505297,88.9634164688149,58.36237041257314,53.74177609935201,7.234859918807317,64,61.97775297059896
83,China,45.72797469470365,57.91178963265303,69.57712570443319,75.61578729363868,79.9046098956563,14.7227426417126,86,61.54917213594877
69,Turkmenistan,50.70248582586164,59.74502014193502,93.39964936781885,48.53103425395154,66.81209358371052,28.496250614698393,77,61.537013177882514
41,El Salvador,66.65959435296031,47.042775124791255,71.8245029569026,62.58087432269288,67.74596389217736,21.530257372753105,42,61.12943307122269
57,Peru,57.76129698168461,55.13742255129005,74.33808225703471,67.64333514544772,68.535491495695,7.773352475871619,63,60.70463651257927
62,Libya,53.24989283748326,60.58614619748847,79.51218612775286,54.04024583112933,65.25108658223236,27.573382778673643,71,60.66523377461396
103,Hungary,52.459507213749426,69.52147881019464,86.35360080613845,69.64992870630178,40.04859100609744,5.99772990333947,72,60.49703688256701
74,Vietnam,45.66200170688311,42.21070256846311,76.77021797853095,68.84054056714535,89.47478937629324,18.40122466227541,88,59.6055033860056
89,Philippines,53.05326589865324,45.75933180098172,77.0474588802524,49.6227128728043,89.85833341179149,23.328504065248836,71,59.16227025587727
61,Croatia,52.58983813280918,66.53873782138236,70.20656515919045,74.62380490195136,46.07556265420851,4.888470005678838,73,58.72162783077985
79,Azerbaijan,45.48187090567631,60.49149997368052,70.5088680831548,59.04729502370542,60.13617793493544,40.78904194440642,86,58.58370189203376
50,Bolivia,58.572054781755526,44.31717778472446,72.66729565252241,51.46051541503292,83.20589097951596,13.710705886619659,61,57.68180308657157
75,Turkey,47.66480752725302,66.70860002723245,77.64815873710089,66.43217136252335,35.24771823257804,23.69644092426624,82,57.47175216948731
86,Serbia,52.17750465173279,58.10661612296533,79.38787618284768,68.80754635211487,40.52241279850573,8.920301604378539,72,56.57488491234399
78,Bhutan,43.51496308506003,47.227818053912316,82.60129134814511,50.49277715804171,73.31803844205412,33.6261283933652,90,56.572584219867124
82,Montenegro,49.05638945674091,60.68439655639261,75.43806357017887,69.64048893809174,33.196245405344946,20.115735277621262,79,55.88769275247325
133,Bulgaria,35.71104335304546,62.758770009458445,88.47058519061024,68.72374920662331,48.85469463453145,0.8665216142827228,107,55.26583211761944
101,Greece,47.15771905184276,69.0528386861122,71.30509525967832,84.1667211974846,14.529769379943753,8.37542176444762,85,55.24395447566685
81,Jordan,40.45173522112718,50.99118645189018,73.35583083807481,64.22127423224312,60.573244352002064,27.840684795105265,96,55.039685123611
99,Mongolia,44.82666527379018,53.88264748314672,92.84872350035326,53.9147100364613,54.76317977988361,7.275223621001632,90,55.03131573875615
22,Venezuela,49.10522140575352,56.40399177253834,87.02067099715217,64.66896586935248,31.847432614427724,14.062426799990671,81,55.0217411867746
68,Kosovo,59.21464679719143,50.54053431760877,69.36048628001778,56.651538142841794,56.63526961856339,6.098421676698748,58,54.57948017475114
92,Macedonia,43.622719731672184,56.16545072276477,74.43950790812357,67.13450625440977,49.9402858761786,10.30028690713072,92,54.18467126906121
73,Indonesia,46.80392205453467,52.84822988180286,74.59593953038835,51.525158116195,73.489081979971,3.9498341825995884,84,54.141866362136184
131,Sri Lanka,26.508749854502344,53.85338649985133,75.8157488470284,65.8467516563071,79.09950322596909,12.524584128171504,125,53.95519388939749
104,Honduras,50.63812952053009,37.55536258621849,71.36991442563202,63.75581714604886,65.31269517204011,15.226938360910314,78,53.402058447960435
76,Kyrgyzstan,47.650901744475384,31.87098714311431,85.09503975345794,57.416714827856744,76.3905940230055,6.5668296572314375,83,53.21153909917056
159,Belize,62.33155817626665,50.24743094143352,47.19190794379518,42.000634595677774,75.4726601170262,21.73803789102247,52,53.11907059795868
102,Lebanon,41.02447356026576,58.247045960674484,69.08112859024929,72.75792491714209,39.523536227745204,9.11286638706274,98,52.306133590168216
67,Algeria,51.13583887583481,56.978230337011794,71.47775381174043,62.69039144563844,20.081513479916,28.372868224843202,77,52.15624040086422
51,Moldova,57.39811963036745,41.373951076755255,77.1113700810994,58.682193486801225,45.17213819011535,1.710981344644807,62,51.28852259925096
95,Bosnia and Herzegovina,48.115300798425835,53.73547395010518,69.18114100679253,71.58331678304121,30.959422503298395,0.0,82,50.44786251865598
98,Laos,37.25483682753787,40.88810753923571,56.56111516349481,42.10572411877746,87.71106994888453,39.97309788525175,103,49.818247716492706
94,Albania,36.041555449340024,54.1365191126278,50.41560237038964,74.35891902576681,58.2677624253016,7.375755316973745,104,49.693287708040195
105,Tajikistan,45.575330830332014,27.473806077966508,71.29569631628007,55.55889393035302,65.2835644972428,31.291162371352666,88,49.67184951631058
