,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
0,7.587,1.39651,1.34951,0.94143,2015
1,7.561,1.30232,1.40223,0.94784,2015
2,7.527,1.32548,1.36058,0.87464,2015
3,7.522,1.459,1.33095,0.88521,2015
4,7.427,1.32629,1.32261,0.90563,2015
5,7.406,1.29025,1.31826,0.88911,2015
6,7.378,1.32944,1.28017,0.89284,2015
7,7.364,1.33171,1.28907,0.91087,2015
8,7.286,1.25018,1.31967,0.90837,2015
9,7.284,1.33358,1.30923,0.93156,2015
10,7.278,1.22857,1.22393,0.91387,2015
11,7.226,0.95578,1.23788,0.86027,2015
12,7.2,1.33723,1.29704,0.89042,2015
13,7.187,1.02054,0.91451,0.81444,2015
14,7.119,1.39451,1.24711,0.86179,2015
15,6.983,0.98124,1.23287,0.69702,2015
16,6.946,1.56391,1.21963,0.91894,2015
17,6.94,1.33596,1.36948,0.89533,2015
18,6.937,1.30782,1.28566,0.89667,2015
19,6.901,1.42727,1.12575,0.80925,2015
20,6.867,1.26637,1.28548,0.90943,2015
21,6.853,1.36011,1.08182,0.76276,2015
22,6.81,1.04424,1.25596,0.72052,2015
23,6.798,1.52186,1.02,1.02525,2015
24,6.786,1.06353,1.1985,0.79661,2015
25,6.75,1.32792,1.29937,0.89186,2015
26,6.67,1.10715,1.12447,0.85857,2015
27,6.611,1.69042,1.0786,0.79733,2015
28,6.575,1.27778,1.26038,0.94579,2015
29,6.574,1.05351,1.24823,0.78723,2015
30,6.505,1.17898,1.20643,0.84483,2015
31,6.485,1.06166,1.2089,0.8116,2015
32,6.477,0.91861,1.24018,0.69077,2015
33,6.455,0.9669,1.26504,0.7385,2015
34,6.411,1.39541,1.08393,0.72025,2015
35,6.329,1.23011,1.31379,0.95562,2015
36,6.302,1.2074,1.30203,0.88721,2015
37,6.298,1.29098,1.07617,0.8753,2015
38,6.295,1.55422,1.16594,0.72492,2015
39,6.269,0.99534,0.972,0.6082,2015
40,6.168,1.21183,1.18354,0.61483,2015
41,6.13,0.76454,1.02507,0.67737,2015
42,6.123,0.74553,1.04356,0.64425,2015
43,6.003,0.63244,1.34043,0.59772,2015
44,5.995,1.16891,1.26999,0.78902,2015
45,5.987,1.27074,1.25712,0.99111,2015
46,5.984,1.24461,0.95774,0.96538,2015
47,5.975,0.86402,0.99903,0.79075,2015
48,5.96,1.32376,1.21624,0.74716,2015
49,5.948,1.25114,1.19777,0.95446,2015
50,5.89,0.68133,0.97841,0.5392,2015
51,5.889,0.59448,1.01528,0.61826,2015
52,5.878,0.75985,1.30477,0.66098,2015
53,5.855,1.12254,1.12241,0.64368,2015
54,5.848,1.18498,1.27385,0.87337,2015
55,5.833,1.14723,1.25745,0.73128,2015
56,5.828,0.59325,1.14184,0.74314,2015
57,5.824,0.90019,0.97459,0.73017,2015
58,5.813,1.03192,1.23289,0.73608,2015
59,5.791,1.12555,1.27948,0.77903,2015
60,5.77,1.12486,1.07023,0.72394,2015
61,5.759,1.08254,0.79624,0.78805,2015
62,5.754,1.13145,1.11862,0.7038,2015
63,5.716,1.13764,1.23617,0.66926,2015
64,5.709,0.81038,1.15102,0.68741,2015
65,5.695,1.20806,1.07008,0.92356,2015
66,5.689,1.20813,0.89318,0.92356,2015
67,5.605,0.93929,1.07772,0.61766,2015
68,5.589,0.80148,0.81198,0.63132,2015
69,5.548,0.95847,1.22668,0.53886,2015
70,5.477,1.00761,0.98521,0.7095,2015
71,5.474,1.38604,1.05818,1.01328,2015
72,5.429,1.15174,1.22791,0.77361,2015
73,5.399,0.82827,1.08708,0.63793,2015
74,5.36,0.63216,0.91226,0.74676,2015
75,5.332,1.06098,0.94632,0.73172,2015
76,5.286,0.47428,1.15115,0.65088,2015
77,5.268,0.65435,0.90432,0.16007,2015
78,5.253,0.77042,1.10395,0.57407,2015
79,5.212,1.02389,0.93793,0.64045,2015
80,5.194,0.59543,0.41411,0.51466,2015
81,5.192,0.90198,1.05392,0.69639,2015
82,5.192,0.97438,0.90557,0.72521,2015
83,5.14,0.89012,0.94675,0.81658,2015
84,5.129,0.47038,0.91612,0.29924,2015
85,5.124,1.04345,0.88588,0.7689,2015
86,5.123,0.92053,1.00964,0.74836,2015
87,5.102,1.15991,1.13935,0.87519,2015
88,5.098,1.11312,1.09562,0.72437,2015
89,5.073,0.70532,1.03516,0.58114,2015
90,5.057,0.18847,0.95152,0.43873,2015
91,5.013,0.73479,0.64095,0.60954,2015
92,5.007,0.91851,1.00232,0.73545,2015
93,4.971,0.08308,1.02626,0.09131,2015
94,4.959,0.87867,0.80434,0.81325,2015
95,4.949,0.83223,0.91916,0.79081,2015
96,4.898,0.37545,1.04103,0.07612,2015
97,4.885,0.89537,1.17202,0.66825,2015
98,4.876,0.59066,0.73803,0.54909,2015
99,4.874,0.82819,1.3006,0.60268,2015
100,4.867,0.71206,1.07284,0.07566,2015
101,4.857,1.15406,0.92933,0.88213,2015
102,4.839,1.02564,0.80001,0.83947,2015
103,4.8,1.12094,1.20215,0.75905,2015
104,4.788,0.59532,0.95348,0.6951,2015
105,4.786,0.39047,0.85563,0.57379,2015
106,4.739,0.88113,0.60429,0.73793,2015
107,4.715,0.59867,0.92558,0.66015,2015
108,4.694,0.39753,0.43106,0.60164,2015
109,4.686,1.0088,0.54447,0.69805,2015
110,4.681,0.79907,1.20278,0.6739,2015
111,4.677,0.98549,0.81889,0.60237,2015
112,4.642,0.92049,1.18468,0.27688,2015
113,4.633,0.54558,0.67954,0.40132,2015
114,4.61,0.271,1.03276,0.33475,2015
115,4.571,0.0712,0.78968,0.34201,2015
116,4.565,0.64499,0.38174,0.51529,2015
117,4.55,0.52107,1.01404,0.36878,2015
118,4.518,0.26673,0.74302,0.38847,2015
119,4.517,0.0,1.0012,0.09806,2015
120,4.514,0.35997,0.86449,0.56874,2015
121,4.512,0.19073,0.60406,0.44055,2015
122,4.507,0.33024,0.95571,0.0,2015
123,4.436,0.45407,0.86908,0.35874,2015
124,4.419,0.36471,0.99876,0.41435,2015
125,4.369,0.44025,0.59207,0.36291,2015
126,4.35,0.76821,0.77711,0.7299,2015
127,4.332,0.99355,1.10464,0.04776,2015
128,4.307,0.27108,0.70905,0.48246,2015
129,4.297,0.7419,0.38562,0.72926,2015
130,4.292,0.01604,0.41134,0.22562,2015
131,4.271,0.83524,1.01905,0.70806,2015
132,4.252,0.4225,0.88767,0.23402,2015
133,4.218,1.01216,1.10614,0.76649,2015
134,4.194,0.8818,0.747,0.61712,2015
135,4.077,0.54649,0.68093,0.40064,2015
136,4.033,0.75778,0.8604,0.16683,2015
137,3.995,0.26074,1.03526,0.20583,2015
138,3.989,0.67866,0.6629,0.31051,2015
139,3.956,0.23906,0.79273,0.36315,2015
140,3.931,0.21102,1.13299,0.33861,2015
141,3.904,0.36498,0.97619,0.4354,2015
142,3.896,1.06024,0.90528,0.43372,2015
143,3.845,0.0694,0.77265,0.29707,2015
144,3.819,0.46038,0.62736,0.61114,2015
145,3.781,0.2852,1.00268,0.38215,2015
146,3.681,0.20824,0.66801,0.46721,2015
147,3.678,0.0785,0.0,0.06699,2015
148,3.667,0.34193,0.76062,0.1501,2015
149,3.656,0.17417,0.46475,0.24009,2015
150,3.655,0.46534,0.77115,0.15185,2015
151,3.587,0.25812,0.85188,0.27125,2015
152,3.575,0.31982,0.30285,0.30335,2015
153,3.465,0.22208,0.7737,0.42864,2015
154,3.34,0.28665,0.35386,0.3191,2015
155,3.006,0.6632,0.47489,0.72193,2015
156,2.905,0.0153,0.41587,0.22396,2015
157,2.839,0.20868,0.13995,0.28443,2015
158,7.526,1.44178,1.16374,0.79504,2016
159,7.509,1.52733,1.14524,0.86303,2016
160,7.501,1.42666,1.18326,0.86733,2016
161,7.498,1.57744,1.1269,0.79579,2016
162,7.413,1.40598,1.13464,0.81091,2016
163,7.404,1.44015,1.0961,0.8276,2016
164,7.339,1.46468,1.02912,0.81231,2016
165,7.334,1.36066,1.17278,0.83096,2016
166,7.313,1.44443,1.10476,0.8512,2016
167,7.291,1.45181,1.08764,0.83121,2016
168,7.267,1.33766,0.99537,0.84917,2016
169,7.119,1.45038,1.08383,0.80565,2016
170,7.104,1.50796,1.04782,0.779,2016
171,7.087,1.06879,1.02152,0.76146,2016
172,7.039,1.35943,1.08113,0.77758,2016
173,6.994,1.44787,1.09774,0.81487,2016
174,6.952,1.08754,1.03938,0.61415,2016
175,6.929,1.42539,1.05249,0.81959,2016
176,6.907,1.48341,1.16157,0.81455,2016
177,6.871,1.69752,1.03999,0.84542,2016
178,6.778,1.11508,0.7146,0.71143,2016
179,6.739,1.64555,0.86758,0.94719,2016
180,6.725,1.40283,1.08672,0.80991,2016
181,6.705,1.2167,0.90587,0.81883,2016
182,6.701,1.18306,0.98912,0.70835,2016
183,6.65,1.15137,1.06612,0.69711,2016
184,6.596,1.30915,1.00793,0.76376,2016
185,6.573,1.57352,0.87114,0.72993,2016
186,6.545,1.18157,1.03143,0.72183,2016
187,6.488,1.30782,1.09879,0.80315,2016
188,6.481,1.03032,1.02169,0.59659,2016
189,6.478,1.39488,1.00508,0.83795,2016
190,6.474,1.0893,1.04477,0.64915,2016
191,6.379,1.48953,0.84829,0.59267,2016
192,6.379,1.39729,0.92624,0.79565,2016
193,6.375,1.82427,0.87964,0.71723,2016
194,6.361,1.34253,1.12945,0.87896,2016
195,6.355,1.05266,0.83309,0.61804,2016
196,6.324,0.83454,0.87119,0.54039,2016
197,6.269,1.09686,0.77866,0.50933,2016
198,6.239,1.61714,0.87758,0.63569,2016
199,6.218,1.44024,0.94397,0.65696,2016
200,6.168,1.32572,0.98569,0.52608,2016
201,6.084,1.13367,1.03302,0.61904,2016
202,6.078,1.27973,1.08268,0.70367,2016
203,6.068,0.8737,0.80975,0.596,2016
204,6.005,1.25142,0.88025,0.62366,2016
205,5.992,0.69384,0.89521,0.65213,2016
206,5.987,0.73591,1.1681,0.50163,2016
207,5.977,1.35495,1.04167,0.85102,2016
208,5.976,0.97306,0.85974,0.68613,2016
209,5.956,0.87616,0.68655,0.45569,2016
210,5.921,1.38007,1.06054,0.91491,2016
211,5.919,1.22943,0.95544,0.57386,2016
212,5.897,0.69177,0.83132,0.52309,2016
213,5.856,1.23228,1.05261,0.58991,2016
214,5.835,1.24585,1.04685,0.69058,2016
215,5.835,1.35948,0.72194,0.88645,2016
216,5.822,0.79422,0.83779,0.4697,2016
217,5.813,1.2692,1.06411,0.64674,2016
218,5.802,1.13062,1.04993,0.63104,2016
219,5.771,1.31141,0.81826,0.84142,2016
220,5.768,1.29947,1.05613,0.79151,2016
221,5.743,0.99602,0.81255,0.62994,2016
222,5.658,1.08017,1.03817,0.44006,2016
223,5.648,1.14372,0.75695,0.66189,2016
224,5.615,1.06688,0.95076,0.52304,2016
225,5.56,1.21788,0.95025,0.63952,2016
226,5.546,1.31857,0.70697,0.8488,2016
227,5.538,0.89373,1.11111,0.58295,2016
228,5.528,1.1697,0.72803,0.67602,2016
229,5.517,1.27964,1.05163,0.68098,2016
230,5.51,0.89333,0.96372,0.59469,2016
231,5.488,1.18649,0.60809,0.70524,2016
232,5.458,1.5107,0.87021,0.95277,2016
233,5.44,0.0,0.33613,0.11466,2016
234,5.401,0.90145,0.66062,0.54,2016
235,5.389,1.16492,0.87717,0.64718,2016
236,5.314,0.95104,0.87625,0.49374,2016
237,5.303,0.99673,0.86216,0.60712,2016
238,5.291,1.12373,0.76042,0.54504,2016
239,5.279,0.81217,0.87877,0.47036,2016
240,5.245,1.0278,0.79381,0.73561,2016
241,5.196,0.8527,0.90836,0.49759,2016
242,5.185,0.56044,0.95434,0.55449,2016
243,5.177,1.03437,0.81329,0.6458,2016
244,5.163,0.93383,0.64367,0.70766,2016
245,5.161,1.07838,0.74173,0.63533,2016
246,5.155,1.02787,0.99496,0.57669,2016
247,5.151,0.84058,0.38595,0.59471,2016
248,5.145,1.24142,0.93164,0.67608,2016
249,5.132,0.68816,0.26135,0.40306,2016
250,5.129,1.12268,0.64184,0.76171,2016
251,5.123,1.27607,0.94367,0.79363,2016
252,5.121,1.0193,0.78236,0.64738,2016
253,5.061,0.74037,0.79117,0.66157,2016
254,5.057,0.25558,0.75862,0.33108,2016
255,5.045,0.97724,0.43165,0.59577,2016
256,5.033,1.24886,0.75473,0.80029,2016
257,4.996,0.48835,0.75602,0.53119,2016
258,4.907,0.98853,1.08983,0.55469,2016
259,4.876,0.68042,0.5497,0.38291,2016
260,4.875,0.75216,0.64498,0.05108,2016
261,4.871,0.69429,0.75596,0.58383,2016
262,4.813,1.11758,0.38857,0.64232,2016
263,4.795,0.61202,0.6376,0.23573,2016
264,4.793,0.44626,0.69699,0.50073,2016
265,4.754,0.67024,0.71629,0.56844,2016
266,4.655,0.9553,0.50163,0.73007,2016
267,4.643,0.54177,0.24749,0.52989,2016
268,4.635,0.36485,0.628,0.0,2016
269,4.575,1.07474,0.59205,0.51076,2016
270,4.574,0.93287,0.70362,0.34745,2016
271,4.513,0.52497,0.62542,0.12698,2016
