,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
0,Switzerland,Western Europe,95.20586576424141,74.64911348463515,82.08698296836984,82.50920245398773,2015
1,Iceland,Western Europe,94.71705207745819,69.61427664199329,85.29379562043796,83.07099035933392,2015
2,Denmark,Western Europe,94.07783417935704,70.85227240880066,82.7603406326034,76.6555652936021,2015
3,Norway,Western Europe,93.98383154728334,77.98945698497161,80.95802919708031,77.58194566170027,2015
4,Canada,North America,92.19778153788307,70.89557018820972,80.4507299270073,79.37160385626643,2015
5,Finland,Western Europe,91.80297048317352,68.96908627474956,80.18613138686132,77.92375109553024,2015
6,Netherlands,Western Europe,91.27655574356083,71.0639504414672,77.86922141119223,78.25065731814198,2015
7,Sweden,Western Europe,91.01334837375447,71.18529113190989,78.41058394160584,79.83085013146362,2015
8,New Zealand,Australia and New Zealand,89.54690731340479,66.82718254521714,80.27189781021897,79.61174408413673,2015
9,Australia,Australia and New Zealand,89.5093062605753,71.28525020289132,79.63686131386861,81.6441717791411,2015
10,Israel,Middle East and Northern Africa,89.39650310208685,65.67204055382217,74.44829683698298,80.09377738825592,2015
11,Costa Rica,Latin America and Caribbean,88.4188757285204,51.090310621724576,75.29683698296839,75.39614373356704,2015
12,Austria,Western Europe,87.93006204173717,71.48035748047538,78.89537712895377,78.03856266432953,2015
13,Mexico,Latin America and Caribbean,87.68565519834557,54.551994812503715,55.6271289537713,71.37949167397021,2015
14,United States,North America,86.40721940214327,74.54220538732882,75.85827250608273,75.5293602103418,2015
15,Brazil,Latin America and Caribbean,83.85034780973866,52.45125070043423,74.99209245742092,61.08851884312006,2015
16,Luxembourg,Western Europe,83.15472833239332,83.59732122917542,74.18673965936739,80.53812445223488,2015
17,Ireland,Western Europe,83.04192517390489,71.41247083868586,83.30170316301704,78.46888694127956,2015
18,Belgium,Western Europe,82.98552359466066,69.90827390958572,78.20316301703164,78.58632778264679,2015
19,United Arab Emirates,Middle East and Northern Africa,82.30870464373005,76.2933600212066,68.47627737226279,70.92462751971954,2015
20,United Kingdom,Western Europe,81.66948674562889,67.69260359291192,78.19221411192214,79.70464504820333,2015
21,Oman,Middle East and Northern Africa,81.40627937582255,72.70338611365985,65.80413625304136,66.85013146362839,2015
22,Venezuela,Latin America and Caribbean,80.59785673998871,55.818855765583784,76.39659367396594,63.14811568799299,2015
23,Singapore,Southeastern Asia,80.37225042301188,81.34957848330971,62.04379562043796,89.85539000876423,2015
24,Panama,Latin America and Caribbean,80.14664410603498,56.84998436410339,72.90145985401459,69.8168273444347,2015
25,Germany,Western Europe,79.46982515510437,70.98270028751439,79.03710462287104,78.16476774758983,2015
26,Chile,Latin America and Caribbean,77.96578304192519,59.18164996635456,68.3984184914842,75.24715162138476,2015
27,Qatar,Middle East and Northern Africa,76.85655198345553,90.35979292428766,65.60827250608273,69.87992988606486,2015
28,France,Western Europe,76.17973303252492,68.30251428804456,76.66545012165452,82.89132340052585,2015
29,Argentina,Latin America and Caribbean,76.16093250611019,56.31437479659864,75.92639902676399,68.99474145486415,2015
30,Czech Republic,Central and Eastern Europe,74.86369618349315,63.021254281111595,73.3838199513382,74.04294478527606,2015
31,Uruguay,Latin America and Caribbean,74.48768565519836,56.75002529312197,73.53406326034064,71.13058720420683,2015
32,Colombia,Latin America and Caribbean,74.33728144388044,49.10342363328633,75.4367396593674,60.5407537248028,2015
33,Thailand,Southeastern Asia,73.92366986275617,51.6847196427478,76.94890510948905,64.7239263803681,2015
34,Saudi Arabia,Middle East and Northern Africa,73.09644670050763,74.59031403111666,65.93248175182482,63.12445223488168,2015
35,Spain,Western Europe,71.55480353449897,65.75435978874806,79.91423357664235,83.75284837861525,2015
36,Malta,Western Europe,71.04718932130099,64.54041834383463,79.19890510948906,77.75723049956179,2015
37,Taiwan,Eastern Asia,70.97198721564205,69.00810773026637,65.46046228710463,76.71340929009641,2015
38,Kuwait,Middle East and Northern Africa,70.91558563639782,83.07935149772622,70.92092457420924,63.533742331288344,2015
39,Suriname,Latin America and Caribbean,70.42677194961459,53.20495278644389,59.12408759124088,53.30411919368975,2015
40,Trinidad and Tobago,Latin America and Caribbean,68.5279187817259,64.77721977936815,71.99148418491484,53.8851884312007,2015
